Symbol,revenue,eps_basic,cash_and_equiv,total_assets,total_liabilities,retained_earnings,total_liabilities_and_equity,cf_cfo,total_assets_growth,equity_to_assets,period_end_date,Average_Stock_Value_After_Result
BDX,1842005000,1.39,1249355000.0,10071270000,5193337000,8947065000,10071270000.0,466109000,0.1074,0.4843,2010-12,79.13526916503906
BDX,1922023000,1.41,748588000.0,10344223000,5245162000,9168895000,10344223000.0,241559000,0.1566,0.4929,2011-03,83.18389444502573
BDX,1951889000,1.57,1158037000.0,10620819000,5322419000,9422074000,10620819000.0,465635000,0.1759,0.4988,2011-06,78.86116923983136
BDX,1988144000,1.39,1175282000.0,10430428000,5602253000,9633584000,10430428000.0,542697000,0.0807,0.4628,2011-09,71.93310098799448
BDX,1831720000,1.23,2196278000.0,11413363000,6685809000,9799928000,11413363000.0,314558000,0.1332,0.4142,2011-12,75.0505112678774
BDX,1928961000,1.41,1839490000.0,11195392000,6719104000,9998883000,11195392000.0,293092000,0.0822,0.3998,2012-03,73.35640692332434
BDX,1980530000,1.62,1658719000.0,11024864000,6790360000,10233693000,11024864000.0,582874000,0.038,0.384,2012-06,74.41207934182788
BDX,1966789000,1.45,1671000000.0,11361000000,7225000000,10435000000,11361000000.0,571476000,0.0892,0.364,2012-09,75.19232290299212
BDX,1900000000,3.18,1917472000.0,11629437000,7159968000,10963549000,11629437000.0,234000000,0.0189,0.3843,2012-12,84.81583379526607
BDX,2000000000,1.42,2023860000.0,11629923000,7041141000,11142597000,11629923000.0,207000000,0.0388,0.3945,2013-03,95.360671043396
BDX,2053000000,1.55,1962086000.0,11587047000,6870527000,11347943000,11587047000.0,395000000,0.0509,0.407,2013-06,97.89562528095549
BDX,2101000000,0.46,1890000000.0,12149000000,7107000000,11342000000,12149000000.0,883000000,0.0693,0.415,2013-09,103.60665869334387
BDX,2015000000,1.4,1679000000.0,12035000000,6956000000,11507000000,12035000000.0,355000000,0.0348,0.422,2013-12,109.8955158110588
BDX,2072000000,1.48,1731000000.0,12250000000,6935000000,11689000000,12250000000.0,411000000,0.0533,0.4338,2014-03,113.36291140601747
BDX,2157000000,1.69,1661000000.0,12374000000,6996000000,11909000000,12374000000.0,441000000,0.0679,0.4346,2014-06,114.0735576569088
BDX,2202000000,1.56,1861000000.0,12447000000,7394000000,12105000000,12447000000.0,537000000,0.0245,0.4059,2014-09,127.78041064550006
BDX,2051000000,1.22,8540000000.0,18503000000,13434000000,12224000000,18503000000.0,286000000,0.5374,0.2739,2014-12,139.93186483075542
BDX,2051000000,1.1,1912000000.0,28293000000,21134000000,12324000000,28293000000.0,227000000,1.3096,0.253,2015-03,138.10716223338292
BDX,3120000000,0.3,1559000000.0,27079000000,19826000000,12260000000,27079000000.0,539000000,1.1883,0.2678,2015-06,139.81633710104322
BDX,3060000000,0.86,1424000000.0,26478000000,19313000000,12314000000,26478000000.0,677000000,1.1272,0.2706,2015-09,143.8449869307261
BDX,2986000000,1.08,1583000000.0,26046000000,18823000000,12402000000,26046000000.0,463000000,0.4076,0.2773,2015-12,141.91427462218238
BDX,3067000000,1.59,1696000000.0,26236000000,18570000000,12600000000,26236000000.0,556000000,-0.0727,0.2921,2016-03,159.6239333152771
BDX,3198000000,1.83,1686000000.0,26016000000,17983000000,12850000000,26016000000.0,836000000,-0.0392,0.3087,2016-06,170.93488178555927
BDX,3231000000,0.09,1541000000.0,25586000000,17952000000,12727000000,25586000000.0,704000000,-0.0336,0.2983,2016-09,165.97924877348402
BDX,2922000000,2.64,919000000.0,24318000000,16735000000,13133000000,24318000000.0,316000000,-0.0663,0.3118,2016-12,174.31298065185547
BDX,2969000000,1.61,548000000.0,24121000000,16157000000,13321000000,24121000000.0,723000000,-0.0806,0.3301,2017-03,182.46349249945743
BDX,3035000000,-0.75,13852000000.0,37166000000,24580000000,12989000000,37166000000.0,385000000,0.4285,0.3386,2017-06,193.8790552048456
BDX,3166000000,1.27,14179000000.0,37734000000,24786000000,13111000000,37734000000.0,1126000000,0.4747,0.3431,2017-09,209.4301193479508
BDX,3080000000,-0.76,1124000000.0,55363000000,34116000000,12765000000,55363000000.0,321000000,1.2766,0.3837,2017-12,218.98296743924504
BDX,4222000000,-0.19,1251000000.0,54573000000,33421000000,12616000000,54573000000.0,696000000,1.2624,0.3875,2018-03,222.58628058433533
BDX,4278000000,2.08,1384000000.0,53977000000,32619000000,12971000000,53977000000.0,542000000,0.4523,0.3956,2018-06,246.3340301513672
BDX,4402000000,-0.64,1140000000.0,53904000000,32910000000,12596000000,53904000000.0,1306000000,0.4285,0.3894,2018-09,232.30322610178305
BDX,4160000000,2.09,943000000.0,52932000000,31529000000,13018000000,52932000000.0,246000000,-0.0439,0.4043,2018-12,236.123052781628
